,Structures,unique_chemcomp,G_2080,G_0,G_Xe_900K,G_Kr_900K,G_900K,delta_G0_298_900,delta_H0_Xe_298_900,delta_TS0_298_900,enthalpy_std_xenon,enthalpy_std_krypton,enthalpy_skew,enthalpy_modality,mean_grid_xenon,mean_grid_krypton,std_grid_xenon,std_grid_krypton,ASA_m2/cm3_1.2,delta_VF_18_20,PO_VF_2.0,D_i_vdw_uff298,delta_pore,D_f_vdw_uff298,pore_dist_mean,pore_dist_std,pore_dist_skewness,pore_dist_kurtosis,pore_dist_neff,pore_dist_modality,C%,O%,N%
0,ABAVIJ_clean,H248C372N62O124Co1,-7.485043685104624,-7.342546428167422,-2.0322553312965663,0.343065484488495,-2.375320815785061,4.967225612382361,-0.32050000000000267,3.6090256123823643,2.62185,2.12837,1.58187,0.4934384598120255,29.3347,27.6404,80.8632,48.4316,1294.79,0.03180000000000001,0.1198,4.68728,0.23453274725274742,2.64421,4.452747252747253,0.4077115602219373,-2.915834328623455,9.9058633050751,1.574633960829055,0.9592389415580529,46.09665427509294,15.36555142503098,7.68277571251549
1,ABEMIF_clean,H8C744O496Cl31Cu124,-5.871114850037874,-6.0306423714796304,-11.692136026456158,-7.6608645257862795,-4.031271500669878,1.9993708708097522,0.1443000000000012,0.1978708708097514,3.76291,3.2294,0.684564,0.4852946772901204,2.16719,3.77133,48.6309,29.7545,1525.09,0.00770000000000004,0.5932,11.6312,0.7961056603773606,6.93259,10.83509433962264,1.3514961976387914,-1.6601458920505858,4.2509771408290975,2.1577483830329847,0.8835814116280711,53.02922309337134,35.3528153955809,0.0
2,ACALIB_clean,H8C558N93O248Er31,-0.4777334868338111,-0.3688007319885071,14.861146478079135,9.061918595810651,5.799227882268484,6.168028614256992,0.8300000000000018,4.663428614256992,2.85385,2.53669,1.66151,0.5233092613501953,35.6499,28.6282,65.7335,37.082,1724.13,0.0922,0.015,4.22246,0.1751385714285716,2.88363,4.047321428571428,0.2531797150489054,-1.617525503426397,4.296934705320695,2.585325638911789,0.8416205975289343,59.48827292110874,26.439232409381663,9.914712153518122
4,ACAKUM,H8C558N93O248La31,-6.06972341535476,-5.795429635277276,1.2783443082104822,2.4891908898007626,-1.2108465815902805,4.584583053686995,-0.5341000000000022,3.395283053686999,2.53931,2.32981,1.68204,0.5019121656132772,20.006,16.4249,56.6942,34.4095,1722.64,0.0668,0.165,4.78865,0.17071521739130358,3.50362,4.617934782608696,0.1854901734387675,-2.173787045449516,6.686153753634066,1.5091379156637248,0.8562995004193984,59.48827292110874,26.439232409381663,9.914712153518122
6,ABEYEN_clean,H2C217N62O186Eu31,-5.208114183163044,-5.1948052113850265,0.0902676327387677,0.9651610455557638,-0.8748934128169961,4.319911798568031,-0.564700000000002,2.7235117985680315,2.64703,2.20143,1.51775,0.4915522034228679,24.1206,19.4123,66.6648,38.8209,2153.73,0.027599999999999986,0.2327,5.09335,0.2696345849802366,4.28586,4.823715415019763,0.3567403342025712,-2.407242613949208,8.542761342779867,2.287261032696087,0.7953888362052662,43.57429718875502,37.34939759036145,12.449799196787149
7,ACAKUM_clean,H8C558N93O248La31,-6.063545580738026,-5.795429635277276,1.2783441750295477,2.4891907566198275,-1.2108465815902798,4.584583053686996,-0.5341000000000022,3.395283053687,2.53931,2.32981,1.68204,0.5019121656132772,20.006,16.4249,56.6942,34.4095,1725.72,0.0668,0.165,4.78865,0.17071521739130358,3.50362,4.617934782608696,0.1854901734387675,-2.173787045449516,6.686153753634066,1.5091379156637248,0.8562995004193984,59.48827292110874,26.439232409381663,9.914712153518122
8,ABEXIQ_clean,H2C217N62O186Ce31,-5.110172485397214,-5.1815117389374885,-0.9857707472358638,0.35608584667519705,-1.3418565939110607,3.839655145026428,-1.0716999999999999,2.451855145026429,2.59275,2.07728,1.30433,0.43048921080814034,21.6539,18.2473,64.5281,38.4049,2212.41,0.028400000000000036,0.2507,5.18951,0.26195094488189063,4.46983,4.92755905511811,0.3639626971788315,-2.7382315459245983,11.176343089130516,2.0417747958731565,0.7603481685669804,43.57429718875502,37.34939759036145,12.449799196787149
9,ABEXEM_clean,H2C217N62O186La31,-5.084492920257971,-5.1953347548087265,-1.509537412493407,0.07814874993619077,-1.5876861624295977,3.607648592379129,-1.3564000000000007,2.394448592379132,2.51261,2.02338,1.27751,0.4107960325729849,20.5667,17.7019,63.8174,38.2122,2222.8,0.028900000000000037,0.2521,5.20127,0.22437606060606008,4.52769,4.97689393939394,0.3914282947913564,-3.182605599355364,13.950746425894607,3.258040388930441,0.7977335449514816,43.57429718875502,37.34939759036145,12.449799196787149
11,ABEYIR_clean,H2C217N62O186Gd31,-5.236300001472085,-5.196658470597781,0.2611890006362255,1.0505121816116616,-0.7893231809754361,4.407335289622345,-0.48529999999999873,2.785635289622345,2.64869,2.2262,1.55629,0.4999493867726746,24.2894,19.7133,66.511,39.0154,2153.66,0.04419999999999999,0.2145,5.091,0.2954444444444446,4.24045,4.795555555555556,0.3694774421353942,-1.8855402174880789,5.186518884992086,2.501111605157848,0.8782888894796617,43.57429718875502,37.34939759036145,12.449799196787149
12,ABEYIR,H2C217N62O186Gd31,-5.22748804937786,-5.196658470597781,0.2611890006362255,1.0505121816116616,-0.7893231809754361,4.407335289622345,-0.48529999999999873,2.785635289622345,2.64869,2.2262,1.55629,0.4999493867726746,24.2894,19.7133,66.511,39.0154,2145.29,0.049099999999999894,0.2305,5.08462,0.24995864541832713,4.25918,4.834661354581673,0.3242425818012575,-2.279434572263213,7.459162806787745,2.2491521188104677,0.8306323550936113,43.57429718875502,37.34939759036145,12.449799196787149
13,ACMPCD_clean,C459N153O408P51Cd1,-4.7741895711674704,-4.838535852240765,4.236741870008065,6.585920754503863,-2.3491788844957977,2.4893569677449676,-2.9787,2.3282569677449683,1.6838,1.76516,2.46019,0.5106092409571387,19.1853,20.4166,61.9368,36.9284,1459.62,0.027200000000000002,0.1172,6.01983,0.5990607692307695,4.92533,5.42076923076923,0.929573612250109,-1.1816538980567584,2.571326570542198,2.332321280706597,0.9319337194448387,42.81716417910448,38.059701492537314,14.272388059701491
14,ACAJIZ_clean,H12C341N31O124Cu31,-6.1136128419015145,-6.742204659571214,-7.9700795873065395,-2.8829992676519454,-5.087080319654595,1.6551243399166191,-2.679000000000002,1.6800243399166215,2.46346,2.63458,0.503454,0.34564830607486174,2.75544,5.55986,53.0407,33.3662,1429.35,0.014600000000000002,0.2455,6.20931,0.08623307692307769,5.76326,6.123076923076923,0.2658609232664463,-3.998838185397113,19.368030958360368,1.2419640494269486,0.8772552496182322,63.265306122448976,23.00556586270872,5.751391465677179
15,ABIYIV_clean,H868C1240N310O248Co3,-2.8346146779738848,-3.3154430920412032,4.7338738529699915,3.3156083723299963,1.4182654806399952,4.7337085726811985,-0.07959999999999923,2.599808572681198,2.84494,2.07091,1.55074,0.553916048200925,21.799,17.8638,62.4821,39.5729,1196.09,0.08730000000000002,0.0515,4.40975,0.13431140350877158,3.93579,4.275438596491228,0.1294803402463513,-0.4100900504286263,1.887219530129095,2.961713764813126,0.6189920307684843,46.45934807043837,9.291869614087672,11.614837017609592
16,ABIYIV,H868C1240N310O248Co3,-2.829001006779432,-3.3154430920412032,4.7338738529699915,3.3156083723299963,1.4182654806399952,4.7337085726811985,-0.07959999999999923,2.599808572681198,2.84494,2.07091,1.55074,0.553916048200925,21.799,17.8638,62.4821,39.5729,1183.65,0.08730000000000002,0.0515,4.40975,0.13431140350877158,3.93579,4.275438596491228,0.1294803402463513,-0.4100900504286263,1.887219530129095,2.961713764813126,0.6189920307684843,46.45934807043837,9.291869614087672,11.614837017609592
17,ACOLEL_clean,H589C806N155O124Mn1,-1.308473915419516,-1.2947878840137619,26.23006292460632,21.263960645596672,4.966102279009647,6.260890163023409,0.2927999999999997,5.99219016302341,2.732,2.47663,1.69617,0.5244799723081626,51.4065,41.5306,86.1534,45.6193,299.061,0.0094,0.0,4.09719,0.3244627272727274,2.80586,3.772727272727273,0.2377581241931276,-0.283415636141267,1.3014773776546642,3.4571428571428573,0.8300754522188967,48.11940298507463,7.402985074626866,9.253731343283585
18,ACAJOF_clean,H26C713N62O248Cu62,-6.82106981046799,-6.017193712536136,-7.373798048193391,-3.048060575378602,-4.325737472814789,1.6914562397213464,-0.8854000000000006,1.0582562397213477,3.61805,3.41804,0.413507,0.4774982421071303,2.56846,5.03248,50.2196,31.6177,1572.35,0.013400000000000023,0.2843,6.8868,0.20460821917808314,6.12764,6.682191780821917,0.2986694079997327,-2.682770709544412,9.780485456898129,1.4220146764509674,0.8381239066418673,64.17641764176417,22.32223222322232,5.5805580558055805
19,ABUWOJ_clean,H7C372O217Zn62,-5.092570547077499,-5.352094025902349,-5.910602259230311,-4.363898683420423,-1.5467035758098877,3.805390450092461,-1.4116,2.5283904500924637,2.3289,1.91738,1.64132,0.4598909316637181,18.3893,14.708,61.445,37.0327,3046.97,0.06879999999999997,0.4035,5.3765,0.309131578947369,4.39632,5.067368421052631,0.2922479499772889,-1.230950780923952,3.66050879904681,4.240324190990779,0.6871284739739598,56.53495440729483,32.97872340425532,0.0
20,ACOLIP_clean,H19C682N155O124Zn31,-5.675043666784428,-6.422715301217589,-3.696399635901495,-2.3412216241206973,-1.3551780117807977,5.067537289436791,-0.5406000000000049,4.044837289436797,2.54634,2.32825,1.58366,0.48123725846765897,26.1549,18.7704,68.295,39.3213,2528.19,0.08899999999999997,0.2669,5.06895,0.40191296296296297,3.68357,4.667037037037037,0.3020708135620448,-0.5927219442467744,2.598011067875664,5.316511085180864,0.5201360840608813,67.45796241345204,12.265084075173096,15.331355093966373
