Structure_name,Enthalpy_grid_kjmol,enthalpy_std,mean_grid,std_grid,Henry_coeff_molkgPa,time
ABAVOP_clean_14,-23.5035,2.48374,39.8397,46.1554,3.05194e-06,0.18207
ABEFUL_clean_124,-28.9252,2.02984,19.9265,43.03,0.000104382,0.317114
ABULOB_clean_60,-23.5499,1.80215,16.7608,40.7106,5.80269e-05,0.37759
ABEMIF_clean_221,-17.5442,3.2294,3.77133,29.7545,1.50691e-05,0.466123
ABESUX_clean_36,-15.2456,1.78087,9.71824,32.8872,2.15784e-06,0.49165
ACODUT_clean_164,-32.1499,1.92253,24.4504,47.6386,0.000389508,0.455237
ACECIV_ion_b_14,-27.9561,2.4163,26.2736,42.7197,9.65759e-06,0.506604
ABAVIJ_clean_1,-30.8696,2.12837,27.6404,48.4316,0.000160799,0.683669
ACALIB_clean_14,-21.6689,2.53669,28.6282,37.082,3.19653e-06,0.598527
ABETAE_clean_36,-15.156,1.80444,9.83274,32.9707,2.13528e-06,0.701
ABIYIV_56,-23.5163,2.07091,17.8638,39.5729,1.74252e-05,0.741631
ABEXEM_clean_33,-19.0118,2.02338,17.7019,38.2122,6.27699e-06,0.817313
ACAKUM_clean_14,-21.0421,2.32981,16.4249,34.4095,8.00053e-06,0.780573
ACAKUM_14,-21.0421,2.32981,16.4249,34.4095,8.00053e-06,0.781985
ABEXOW_clean_33,-19.3731,2.09292,18.5363,38.5651,6.28199e-06,0.904872
ABEYIR_33,-20.0467,2.2262,19.7133,39.0154,6.21156e-06,0.89592
ABEXIQ_clean_33,-19.1916,2.07728,18.2473,38.4049,6.18157e-06,0.94546
ABEYIR_clean_33,-20.0467,2.2262,19.7133,39.0154,6.21156e-06,0.928348
ABEYAJ_clean_33,-19.8037,2.17448,19.239,38.9434,6.31763e-06,0.948184
ABEYEN_clean_33,-19.9286,2.20143,19.4123,38.8209,6.24942e-06,0.968439
ABEXUC_clean_33,-19.5766,2.12774,18.7103,38.622,6.36136e-06,1.01331
ABIXOZ_clean_2,-11.9773,1.95729,10.4579,29.8444,1.21685e-06,0.996126
ACAJIZ_clean_15,-19.9736,2.63458,5.55986,33.3662,1.55796e-05,0.994015
ABIYIV_clean_56,-23.5163,2.07091,17.8638,39.5729,1.74252e-05,1.0315
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-14.5756,2.19811,7.2479,30.0162,8.60428e-06,0.624338
acs.cgd.5b01686_WAHFUJ1434675_clean_14,-21.6832,3.09494,14.2295,36.957,1.69808e-05,0.899209
ACAJOF_clean_56,-19.4756,3.41804,5.03248,31.6177,1.25771e-05,1.1739
ACMPCD_clean_1,-15.6513,1.76516,20.4166,36.9284,1.17482e-06,1.17437
ABAYOU_clean_225,-21.4811,4.21629,11.1406,32.388,2.08696e-05,1.3664
ABAYIO_clean_225,-21.5179,4.30982,11.0816,32.341,2.04646e-05,1.39406
ABUWOJ_clean_61,-19.7889,1.91738,14.708,37.0327,2.16179e-05,1.36162
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-20.0159,2.78749,2.49253,31.8927,3.84624e-05,0.605393
ACODED_60,-22.1265,2.29451,10.1947,37.5371,4.98916e-05,1.39348
acscombsci.5b00188_24205_clean_1,-21.5043,1.57472,6.95487,36.467,6.35074e-05,0.934288
ACOLEL_clean_1,-29.5773,2.47663,41.5306,45.6193,6.33434e-06,1.48378
ACOLIP_clean_1,-24.0499,2.32825,18.7704,39.3213,5.15777e-05,1.52925
acs.inorgchem.5b02378_ic5b02378_si_002_clean_72,-29.9073,2.59173,21.5014,41.8304,7.19635e-05,0.728502
acs.cgd.6b00163_UKEBOD1448508_clean_15,-29.947,1.90155,22.1979,45.8901,0.000149724,1.28974
ADABAK01_clean_2,-22.7188,2.36569,32.2455,43.505,3.77546e-06,0.241093
ADABIS_clean_2,-29.4678,2.48006,40.0201,50.1053,2.17382e-05,0.142394
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-24.9511,2.30131,29.8582,44.7042,1.53563e-05,0.551713
ADABAK_15,-28.0165,2.45009,26.1153,40.8869,1.85584e-05,0.378404
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-37.4098,5.40371,0.520417,35.8246,0.00214443,1.01189
ADABUE_clean_2,-24.9511,2.30131,29.715,44.7055,1.53563e-05,0.492686
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-26.8049,3.97428,10.9186,36.1711,7.17048e-05,1.17983
ACUTOI_clean_60,-22.5288,1.75012,8.70616,35.4714,2.53813e-05,0.673841
ACUBAB_clean_15,-17.2011,1.41996,10.6305,34.5752,4.4854e-06,0.849026
ACOGEF_clean_2,-22.626,1.88481,12.9915,38.6892,4.84694e-05,2.23594
ADEGIA01_clean_2,-23.9741,2.10431,22.4727,41.5479,3.10841e-05,0.21535
ADEGIA_clean_2,-23.7858,2.03871,20.7839,41.2108,3.32603e-05,0.227311
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,-20.4343,2.46023,8.6543,35.1736,2.29368e-05,1.42127
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,-16.6764,2.47568,11.6544,34.181,5.81547e-06,1.19478
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-18.6144,2.43513,11.0531,35.2774,1.43226e-05,1.03136
ADAXEK_clean_12,-22.2414,2.23709,10.4846,38.2791,4.53315e-05,0.571601
acscombsci.5b00188_34903_clean_1,-23.468,1.43807,0.964144,35.8985,0.000121729,1.96443
ADIQEL_clean_14,-29.3315,2.17673,17.3364,43.4404,0.000291452,0.28418
ACODON_clean_13,-19.4647,3.01219,7.63501,33.7833,2.20403e-05,2.50409
ACOGAB_clean_2,-22.5922,1.84055,13.6347,38.9187,5.21521e-05,2.50724
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-33.2098,4.126,4.07264,26.0368,0.000137243,1.65734
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-19.2418,2.34,8.13188,34.2128,3.45145e-05,1.546
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,-17.6023,3.25807,11.2104,34.7638,5.30133e-06,1.68278
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-15.2368,2.61114,5.18382,29.9514,1.15919e-05,2.30863
acscombsci.5b00188_5040209_clean_1,-21.0392,3.41217,6.74031,31.8038,3.19493e-05,2.15957
ADAXIO_clean_15,-21.4429,1.98982,8.20912,37.1583,3.73111e-05,1.00958
acscombsci.5b00188_8372_clean_1,-13.0628,2.1773,9.8451,29.6489,4.2901e-06,2.34956
AFEDIA_clean_2,-13.8924,2.9407,47.2778,35.7595,2.06701e-08,0.352536
AFEKAX_clean_123,-30.827,7.17279,6.54177,38.5157,0.000240926,0.149586
ADOBUR_charged_118,-21.4867,1.96276,20.5833,40.0193,1.07333e-05,0.831414
ADOBOL_clean_118,-21.5762,1.98191,21.0523,39.9832,1.02589e-05,0.93776
ADOBAX_charged_118,-20.9397,1.98093,20.0978,39.7718,1.02784e-05,1.06904
ADOCIG_charged_118,-21.613,1.97183,20.7212,40.1651,1.08833e-05,0.872891
ADOBEB_charged_118,-20.9408,1.97394,20.1185,39.7534,1.02684e-05,1.07344
ADOBOL_charged_118,-21.5762,1.98191,21.0523,39.9832,1.02589e-05,1.04712
ADOBAX_118,-20.9397,1.98093,20.0978,39.7718,1.02784e-05,1.17304
ADOCAY_charged_118,-21.512,1.96012,20.6298,40.0209,1.08106e-05,1.00908
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,-21.487,2.17966,6.64134,36.2738,4.28798e-05,2.53821
ACIBIY_clean_2,-20.0119,1.83096,19.3882,39.3939,7.6802e-06,3.57594
acs.cgd.5b01554_VAGNUP1452791_clean_62,-16.8871,2.54923,8.13055,31.6731,7.32785e-06,3.57518
ADOBIF_clean_118,-20.467,2.34947,17.7236,38.0363,1.24146e-05,1.37334
ABEXEN_clean_192,-19.4786,5.72552,2.13613,21.4037,1.7561e-05,3.81434
AFIPAH_clean_2,-20.8578,2.09901,23.4542,41.1591,8.53959e-06,0.434155
AFENEE_clean_34,-27.5741,2.72775,22.1503,40.936,6.74746e-05,0.515813
ADOCEC_clean_118,-20.2151,2.15087,17.3636,37.6966,1.24428e-05,1.33471
ac403674p_si_001_clean_4,-15.3939,3.00258,4.28794,27.8999,4.92092e-06,3.97162
AFOYEB_clean_92,-18.7968,1.22711,7.1004,33.6451,7.08739e-06,0.487555
AFOQUI_clean_1,-24.3875,2.58017,31.9164,42.4958,1.0855e-05,1.09932
ADOGEH_clean_225,-26.8311,4.07613,5.14612,29.8965,9.12248e-05,1.82239
AFITEP_clean_2,-24.5749,2.60556,11.8984,37.5823,8.58712e-05,1.22695
AFOYIE_clean_62,-14.8343,2.97243,6.34308,30.1131,9.21425e-06,0.761431
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,-23.604,1.8864,18.1598,40.9318,2.68961e-05,3.6464
ADODOO_clean_1,-21.4569,1.63868,9.67391,38.1689,3.61087e-05,2.14455
AFUPEX_clean_14,-17.4682,2.07949,9.72773,33.4108,1.2482e-05,0.510335
ADODUU_clean_1,-21.6901,1.64765,9.37633,38.2651,3.85459e-05,2.44286
ADODII_clean_1,-20.9483,1.63671,10.9538,38.112,3.13545e-05,2.64853
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,-21.6232,2.56931,8.30219,35.9823,5.22967e-05,4.03329
AGAYIQ_clean_15,-27.0813,2.682,26.5347,41.339,1.87566e-05,0.505671
AGESIP_clean_14,-20.0641,2.6034,34.0492,39.8935,1.00026e-06,0.148381
ADUWIH_clean_201,-15.0643,2.80495,5.15684,28.6401,1.17238e-05,2.55748
AGARUW_clean_62,-16.0985,1.81289,7.28743,32.3043,5.26213e-06,0.712918
AFOYOK_clean_11,-16.5265,2.58151,8.77461,33.2999,1.03391e-05,1.53668
AGIMOU_clean_14,-25.9307,2.49874,27.7064,42.7284,2.42245e-05,0.224088
AFOYAW_clean_2,-19.4097,2.35654,12.3681,35.7386,2.31993e-05,1.7484
AGUTUS_clean_14,-18.2025,2.96304,48.9598,42.0724,3.31722e-07,0.306426
AFEJOK_ion_b_8,-18.4974,2.2617,7.54817,33.5942,1.948e-05,2.59878
AGUWUV_clean_2,-21.1258,2.27765,19.3458,37.4356,8.68231e-06,0.309715
AGUBUA_clean_60,-21.5143,1.55959,11.2205,37.7626,3.08657e-05,0.448209
ACIBOE_clean_8,-15.8937,2.22539,6.61307,30.6697,1.00133e-05,5.76596
AGONAM_clean_14,-18.5482,1.967,7.94472,33.8266,1.41352e-05,0.561062
AHAMAY_clean_2,-23.2936,1.93295,20.0135,42.7928,1.12282e-05,0.43024
AHOJUC_clean_13,-16.3449,2.58971,58.0435,49.4878,1.13219e-07,0.0830263
ACOLUB_clean_2,-19.7953,3.57376,7.83157,33.116,1.89137e-05,6.03224
AHOKAJ_clean_13,-15.5393,2.6264,58.2754,50.2512,7.71644e-08,0.0790727
AFOTOF_clean_1,-24.258,5.24238,4.91379,30.3594,3.67316e-05,2.72516
AHOKIR01_clean_2,-28.624,2.70525,20.2512,40.3041,7.76119e-05,0.119738
AHOKIR_clean_12,-21.1123,2.3066,18.6411,37.3143,8.97422e-06,0.0717588
AHOKOX_clean_59,-20.0137,2.24809,16.8556,36.7595,8.92119e-06,0.11392
AFIXES_clean_14,-21.236,3.35546,10.4931,34.6388,1.85243e-05,3.06208
AFOTUL_clean_1,-23.9998,5.27467,4.88354,30.2281,3.51108e-05,3.05615
AHUTIH01_clean_14,-20.3826,2.42169,27.8679,40.0092,2.54095e-06,0.296664
AFIXAO_clean_14,-21.0724,3.23907,11.0628,35.1863,1.85806e-05,3.22113
AFOVOH_clean_1,-24.2601,5.31059,4.92939,30.2716,3.66148e-05,2.92908
AHOBEG_clean_2,-24.4172,2.34,21.2757,41.3946,3.19015e-05,0.929194
AHUTIH_clean_14,-18.8881,2.45059,27.6492,39.0187,1.59722e-06,0.293631
AFOVEX_clean_1,-23.7911,5.23461,4.87864,30.0076,3.44795e-05,3.2387
AFOVAT_clean_1,-23.8258,5.2458,4.94242,30.2285,3.48397e-05,3.28032
ADATUW_clean_199,-17.2058,4.74961,4.61102,25.5116,1.2322e-05,5.18316
AJINOY_clean_2,-26.234,2.96972,40.0845,40.022,2.5338e-06,0.278296
AFOVIB_clean_1,-24.4451,5.32669,4.79702,30.3164,3.73707e-05,3.36605
AGONEQ_clean_7,-14.6142,1.32442,5.58367,29.8594,9.12991e-06,1.86324
ACAJIY_clean_1,-25.5513,2.46395,24.0903,41.7257,4.75706e-05,7.17962
acscombsci.5b00188_5036495_clean_1,-8.67754,2.57286,2.9458,19.9908,4.77611e-06,6.45341
AGABIU_clean_11,-9.86128,2.6999,4.36759,21.9664,2.62049e-06,2.69168
ADAVAE_clean_199,-18.3875,4.88241,4.76846,25.8292,1.51909e-05,5.61961
AHINIP_clean_4,-24.8028,2.04396,23.4458,40.3007,2.15094e-05,1.5896
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,-23.2306,2.45305,8.63545,37.5745,7.02795e-05,6.43668
ADAVIM_clean_199,-17.1355,4.69621,4.54488,25.4917,1.25131e-05,5.56362
AJAMEF_clean_15,-27.812,2.40736,22.6069,42.6458,6.06684e-05,0.762606
AKUHOD01_clean_2,-12.2301,3.06128,44.2502,36.7248,1.47356e-08,0.167165
AKUHOD_clean_2,-12.5472,3.07665,42.7224,36.0026,1.73136e-08,0.167008
ALALUU01_clean_2,-12.7485,3.09913,44.064,38.8902,2.82031e-08,0.128626
ADAVEI_clean_199,-18.0437,4.72001,4.72255,25.93,1.48981e-05,5.88693
AKUHOD03_clean_1,-13.4793,3.12949,39.2969,35.7176,2.54694e-08,0.282945
ALALUU_clean_2,-12.2748,3.11555,46.3592,39.0628,2.29261e-08,0.139985
ADATOQ_clean_199,-17.5213,4.79344,4.23758,25.0606,1.35674e-05,6.0654
ALATAK_clean_12,-16.6571,2.73094,46.1381,40.2631,2.9683e-07,0.117723
AJOTEY_clean_33,-14.2116,1.34619,12.1071,34.3275,5.15848e-06,1.16197
AKUKUO_clean_2,-22.5203,1.94172,13.3818,39.3709,3.96133e-05,0.692517
AJUNOK_clean_54,-24.0115,2.33602,17.6398,40.3212,2.89095e-05,1.26117
AHIYOH_clean_61,-23.1274,1.99787,11.6342,40.0592,4.15999e-05,2.36857
AKOBAF_clean_15,-24.6186,2.3384,12.2333,37.8084,6.48298e-05,1.09653
ALIFUY_clean_14,-27.2299,2.12428,24.2233,43.0113,5.56062e-05,0.578291
AKOHEO_clean_14,-14.3258,2.08817,11.9089,31.2288,1.41076e-06,1.20683
AHOZAA_clean_60,-27.8615,2.15545,13.2152,40.1711,0.000115485,2.21608
AJOXAA_clean_14,-18.8087,2.03075,9.43625,36.3995,1.51991e-05,1.61118
AGAXOV_clean_2,-14.3484,2.40833,7.25993,29.398,8.60498e-06,3.82884
AHEBAS_clean_5,-23.8272,2.49888,11.1606,38.6759,5.76395e-05,2.86494
AJAYIT_clean_9,-20.8047,1.80996,7.51504,36.7128,1.48851e-05,1.93529
ALIBUT_clean_229,-16.9077,3.34589,9.49954,29.9709,4.00986e-06,0.894623
ALIPEQ_clean_21,-12.711,3.02502,41.8184,35.0425,8.71289e-08,0.670237
ALEQIT_clean_2,-21.8433,2.77169,10.8451,37.8199,1.37183e-05,1.0523
ALUJUN_clean_2,-24.1842,1.97244,20.5359,41.8288,4.64391e-05,0.207065
AKEDIF_clean_15,-20.759,3.16459,5.19284,33.3756,4.46276e-05,1.73478
AGAYOW_clean_15,-23.0379,2.76613,14.8519,39.0343,2.59884e-05,3.79006
ALUKAU_clean_2,-24.2919,2.0223,21.182,41.966,3.70705e-05,0.348706
AHEQAH_clean_46,-15.8746,3.24324,5.7613,29.7067,1.39208e-05,3.29776
ALICAA_clean_229,-16.4911,3.30279,9.81922,30.0073,3.2111e-06,1.28938
ALIXUP_clean_56,-13.9831,3.33966,10.7779,29.8936,1.71753e-06,0.910546
AJAKON_clean_14,-22.2419,3.14667,13.7521,36.8639,2.26637e-05,2.99262
AHIYUN_clean_15,-42.618,3.95103,5.10595,42.7485,0.0112919,3.89697
AMAFOK_clean_2,-20.9755,1.62552,5.20103,35.4593,2.81596e-05,0.616133
AJOVEB_clean_2,-20.6015,3.32834,12.1352,35.1693,6.75096e-06,2.90446
AFUKAP_clean_2,-19.4334,3.49706,7.9442,32.9682,1.91719e-05,5.88514
AMALND_clean_60,-18.5598,2.32912,35.1797,40.4198,1.55499e-06,0.329935
AGUVOO_charged_60,-18.79,2.44603,13.5606,36.3513,1.39215e-05,4.60692
ALOLES_ion_b_1,-18.6809,2.12421,17.71,37.1654,2.2673e-06,1.87772
AMIKOX_clean_54,-23.9129,2.75848,60.9434,43.7743,6.91879e-07,0.321798
ALOLIY_clean_15,-11.6068,1.80148,8.59926,28.6033,1.33245e-06,2.01184
ALIXOJ_clean_14,-16.0661,2.98469,5.64535,28.7759,9.51035e-06,2.27346
AMIWID_clean_14,-24.8481,1.90412,18.3555,41.6402,3.21097e-05,0.338218
AMIWOJ_clean_14,-24.6852,1.89737,18.0334,41.4085,3.08183e-05,0.53625
AMEJOS_charged_2,-24.5456,2.5066,20.6834,39.2298,1.82142e-05,1.23784
AMIWUP_clean_14,-24.9022,1.90231,17.9476,41.5357,3.30791e-05,0.33339
AMEJIM_charged_148,-17.7652,2.33419,11.9468,34.9128,5.89786e-06,1.45106
AMIXAW_clean_14,-25.1225,1.9036,17.9212,41.5248,3.44596e-05,0.550001
AFITIT_clean_5,-20.3652,3.3083,9.32489,34.9952,2.07552e-05,8.24464
AKAYIV_clean_13,-14.8278,2.43222,1.83965,26.2118,5.54057e-06,4.79171
acscombsci.5b00188_5020072_clean_1,-9.86313,3.15953,2.40457,19.178,4.4908e-06,11.3308
ALAHUS_clean_122,-16.8145,2.37345,7.21996,32.355,8.67365e-06,4.58655
AMIZIG_clean_62,-17.1556,2.09455,7.04155,31.777,4.64583e-06,0.968293
AMUCOB_clean_2,-26.5851,2.58842,30.8726,40.5428,5.73234e-06,0.219867
AMOZAE_clean_14,-19.7908,2.70124,26.5714,34.7427,1.36237e-06,0.337771
AKOXIJ_clean_12,-31.4027,5.16354,8.82345,38.6042,0.0003892,5.10897
AMUFEV_clean_2,-24.3947,2.54827,26.5061,40.5708,1.25142e-05,0.274491
AMOYOR_clean_2,-23.4673,1.73188,12.6958,38.9242,4.27248e-05,0.820828
AMIXEA_clean_1,-25.3067,1.90856,18.1148,41.7905,3.59314e-05,1.4249
AMUFIZ_clean_2,-23.5972,2.95607,29.8293,39.7423,5.56939e-06,0.294078
AMUFAR_clean_2,-24.4961,2.31898,21.7253,39.491,2.40786e-05,0.48282
ALIXAU_clean_h_1,-23.4259,5.0722,16.0686,37.9787,1.11771e-05,4.53685
acscombsci.5b00188_5013797_clean_1,-15.0983,3.37951,3.69014,26.4146,1.2056e-05,12.0558
ALURIJ_clean_18,-20.8876,3.06748,9.61474,35.859,2.53326e-05,3.67918
AMUFOF_clean_2,-21.0595,2.26443,17.2134,37.3972,1.50798e-05,0.503793
ALURAB_clean_18,-20.3431,2.98952,9.51659,35.412,2.22832e-05,3.86333
ALUREF_clean_18,-20.479,3.0096,9.53105,35.494,2.31169e-05,4.18405
ANAWIX_clean_15,-18.2611,1.9636,8.31548,33.1006,1.18261e-05,0.838574
AMUPOP_clean_15,-27.0441,2.86412,17.5249,42.3152,5.99929e-05,0.998881
ANENEN_clean_2,-20.3028,2.40163,9.65586,36.0444,1.52621e-05,0.828897
ALULID_clean_2,-16.1571,2.8379,6.52879,30.9281,1.19325e-05,4.91623
ANEPIT_clean_2,-19.3792,3.42537,41.7273,40.0518,1.76156e-07,1.16973
AJIGIL_clean_19,-18.9743,3.46534,7.00609,31.2479,9.35425e-06,7.51497
ANENIR_clean_1,-20.6765,2.28083,8.70104,36.0883,1.73881e-05,1.68518
ACOLOV_clean_14,-15.7575,2.69495,5.36742,29.4394,1.24715e-05,14.3903
acs.jpcc.6b04690_jp6b04690_si_005_clean_2,-34.9752,3.36004,6.89613,35,0.000556719,13.1536
ANAWOD_clean_52,-17.8516,2.85442,5.05042,31.3946,1.25273e-05,1.96866
AMAGAX_clean_2,-19.9827,1.78599,4.56545,34.4192,2.23315e-05,5.09947
ANIDIL_clean_15,-22.1902,2.57076,18.5205,40.7557,1.13628e-05,2.15932
am301365h_si_002_clean_160,-15.4404,2.48544,3.91944,28.7589,9.42388e-06,6.12425
ANEHEI_clean_2,-21.7499,3.29023,8.24228,33.9047,2.53701e-05,2.63173
ALULAV_clean_15,-11.7056,2.39242,4.34183,25.6841,7.11117e-06,7.09888
ALUJEX_clean_2,-20.1084,2.41612,9.77909,36.6441,2.01747e-05,7.4667
APARAM_clean_147,-30.6644,3.95218,4.18859,25.8386,0.000100188,1.64304
AMUXAI_clean_2,-15.6998,3.4527,5.37027,28.1262,5.24121e-06,3.69326
ALUKOI_clean_15,-11.6364,2.38632,4.27722,25.5093,7.09903e-06,7.47561
ALUKUO_clean_15,-11.6506,2.3862,4.3006,25.5742,7.10408e-06,7.41297
AFITUF_clean_4,-19.8257,3.12884,10.1295,34.8544,1.36219e-05,12.8171
