Structure_name,Enthalpy_grid_kjmol,enthalpy_std,enthalpy_skew,enthalpy_kurt,mean_grid,std_grid,Henry_coeff_molkgPa,time
ABAVOP_clean_14,-7.43641,2.61267,1.89399,8.37689,58.4689,84.9721,1.451e-09,0.130098
ABEFUL_clean_124,-41.8512,2.40359,1.91679,8.64453,25.0766,73.9723,0.00610244,0.255477
ABULOB_clean_60,-32.691,2.27378,1.8883,8.57721,19.6005,68.5938,0.000920184,0.30579
ABAVIJ_clean_1,-41.1676,2.62185,1.58187,7.09777,29.3347,80.8632,0.00311379,0.450477
ABEMIF_clean_221,-25.3438,3.76291,0.684564,3.02626,2.16719,48.6309,0.000171847,0.464419
ACALIB_clean_14,-25.5775,2.85385,1.66151,7.18622,35.6499,65.7335,3.70956e-06,0.43689
ACECIV_ion_b_14,-36.5367,2.59755,1.80035,7.91215,39.3437,81.0432,8.47318e-05,0.449434
ACODUT_clean_164,-47.7755,2.13866,2.15558,10.2454,22.5522,77.5317,0.0757651,0.437206
ABEXOW_clean_33,-27.022,2.60291,1.34648,6.34546,22.2389,65.2661,5.08784e-05,0.553258
ABESUX_clean_36,-21.1023,1.9356,1.17426,7.96581,10.3935,54.0497,1.45982e-05,0.62911
ACAKUM_14,-29.4591,2.53931,1.68204,7.62934,20.006,56.6942,8.29746e-05,0.590682
ABEYAJ_clean_33,-27.6988,2.64763,1.45616,6.53709,23.4242,66.139,5.26913e-05,0.624543
ABETAE_clean_36,-20.9075,1.89515,1.33468,8.35154,10.4842,54.0885,1.40534e-05,0.649327
ABEYEN_clean_33,-27.8204,2.64703,1.51775,6.72068,24.1206,66.6648,5.08614e-05,0.652471
ACAKUM_clean_14,-29.4591,2.53931,1.68204,7.62934,20.006,56.6942,8.29746e-05,0.625897
ABEXIQ_clean_33,-26.7917,2.59275,1.30433,6.2749,21.6539,64.5281,5.004e-05,0.73034
ABEXEM_clean_33,-26.4509,2.51261,1.27751,6.40715,20.5667,63.8174,5.10967e-05,0.74675
ABEXUC_clean_33,-27.3046,2.63212,1.37759,6.35673,22.5992,65.3725,5.15947e-05,0.743442
ABEYIR_clean_33,-27.9825,2.64869,1.55629,6.84477,24.2894,66.511,5.05911e-05,0.734525
ABEYIR_33,-27.9825,2.64869,1.55629,6.84477,24.2894,66.511,5.05911e-05,0.778637
ACMPCD_clean_1,-21.7469,1.6838,2.46019,13.812,19.1853,61.9368,8.28081e-06,0.79524
ACAJIZ_clean_15,-27.4652,2.46346,0.503454,3.62642,2.75544,53.0407,0.000236774,0.836009
ABIYIV_clean_56,-30.0088,2.84494,1.55074,6.14677,21.799,62.4821,6.64218e-05,0.878795
ABIYIV_56,-30.0088,2.84494,1.55074,6.14677,21.799,62.4821,6.64218e-05,0.903923
ACOLEL_clean_1,-34.1712,2.732,1.69617,7.39207,51.4065,86.1534,1.0682e-05,1.00682
ACAJOF_clean_56,-26.6056,3.61805,0.413507,2.45234,2.56846,50.2196,0.000142652,1.04881
ABUWOJ_clean_61,-27.4526,2.3289,1.64132,8.03219,18.3893,61.445,0.00018747,1.07764
ACOLIP_clean_1,-33.2818,2.54634,1.58366,7.2895,26.1549,68.295,0.000689032,1.07088
acs.cgd.5b01686_WAHFUJ1434675_clean_14,-28.4409,2.5901,1.61415,6.80837,16.4098,59.7416,0.000129624,0.924693
ABIXOZ_clean_2,-16.1268,2.06158,0.870731,6.15274,10.5627,47.2875,4.36457e-06,1.16852
