Structure_name,Enthalpy_grid_kjmol,Henry_coeff_molkgPa,time
ABAVOP_clean_14,-24.0427,5.21982e-09,0.17528
ABEFUL_clean_124,-30.7127,3.65288e-08,0.230674
ABEMIF_clean_221,-19.2014,1.30329e-07,0.356021
ABAVIJ_clean_1,-32.5483,3.37843e-08,0.453461
ABESUX_clean_36,-18.7012,2.66858e-08,0.452282
ABETAE_clean_36,-18.5997,2.71132e-08,0.453899
ABEXOW_clean_33,-21.7835,2.79652e-08,0.507804
ABEXIQ_clean_33,-21.6511,2.87698e-08,0.520968
ABEYEN_clean_33,-22.0897,2.4573e-08,0.511051
ABEXUC_clean_33,-21.9142,2.70121e-08,0.520178
ABEXEM_clean_33,-21.5814,3.03126e-08,0.534445
ABEYAJ_clean_33,-22.0375,2.5506e-08,0.529239
ABULOB_clean_60,-26.1969,8.06805e-08,0.190712
ABEYIR_33,-22.1537,2.37968e-08,0.481093
ABEYIR_clean_33,-22.1537,2.37968e-08,0.489542
ABAYIO_clean_225,-18.4383,1.08239e-07,0.835183
ABAYOU_clean_225,-18.5935,1.07728e-07,0.915655
ABIYIV_56,-25.7298,2.57163e-08,0.475289
ACAKUM_14,-22.7655,2.43185e-08,0.369292
ABIYIV_clean_56,-25.7298,2.57163e-08,0.472189
ACALIB_clean_14,-22.3435,8.99287e-09,0.255947
ACECIV_ion_b_14,-28.6622,4.88333e-09,0.267056
ACAKUM_clean_14,-22.7655,2.43185e-08,0.35731
ACAJIZ_clean_15,-22.6277,6.09202e-08,0.501641
ABIXOZ_clean_2,-15.361,3.69889e-08,0.816565
ACODUT_clean_164,-33.9653,5.64776e-08,0.230526
ACAJOF_clean_56,-20.9942,6.65084e-08,0.659682
ABUWOJ_clean_61,-22.4775,8.34201e-08,0.768241
ACMPCD_clean_1,-18.7911,1.3263e-08,0.558584
ACOLEL_clean_1,-29.5532,2.16256e-09,0.602417
ACODED_60,-24.6785,1.06803e-07,1.02554
ACOLIP_clean_1,-25.6132,7.0269e-08,0.775799
acs.cgd.5b01686_WAHFUJ1434675_clean_14,-23.1494,4.73228e-08,0.53011
ABEXEN_clean_192,-15.4429,1.9981e-07,2.21198
ACODON_clean_13,-21.1691,1.10743e-07,1.32741
ACOGEF_clean_2,-25.3788,8.64518e-08,1.26202
ACOGAB_clean_2,-25.348,9.35719e-08,1.29097
acs.cgd.6b00163_UKEBOD1448508_clean_15,-32.2027,3.81522e-08,0.638811
