Structure_name,Enthalpy_grid_kjmol,Henry_coeff_molkgPa,time
ABAVOP_clean_14,-7.45306,1.98943e-10,0.128043
ABAVIJ_clean_1,-41.4881,4.64058e-08,0.266029
ABAYIO_clean_225,-23.7099,1.48839e-07,0.871178
ABAYOU_clean_225,-23.9488,1.49093e-07,0.861052
ABEFUL_clean_124,-42.5992,7.20142e-08,0.193272
ABEMIF_clean_221,-25.1995,2.2336e-07,0.286432
ABESUX_clean_36,-24.1297,3.86166e-08,0.309956
ABETAE_clean_36,-23.9619,3.90225e-08,0.324514
ABEXEM_clean_33,-27.8073,3.74773e-08,0.359841
ABEXIQ_clean_33,-27.8634,3.44203e-08,0.36228
ABEXOW_clean_33,-28.0074,3.31269e-08,0.36633
ABEXUC_clean_33,-28.1495,3.15302e-08,0.35645
ABEYAJ_clean_33,-28.3662,2.93606e-08,0.353258
ABEYEN_clean_33,-28.3851,2.76207e-08,0.355738
ABEXEN_clean_192,-20.2101,2.78131e-07,2.05828
ABEYIR_33,-28.4678,2.64441e-08,0.347741
ABEYIR_clean_33,-28.4678,2.64441e-08,0.349554
ABIYIV_56,-30.0884,2.12763e-08,0.435416
ABIXOZ_clean_2,-19.1555,4.46804e-08,0.55769
ABULOB_clean_60,-34.1572,1.21657e-07,0.159003
ABIYIV_clean_56,-30.0884,2.12763e-08,0.405144
ABUWOJ_clean_61,-28.8642,1.02574e-07,0.569843
ac403674p_si_001_clean_4,-22.4131,1.11299e-07,2.07789
ACAJIY_clean_1,-34.3861,4.477e-08,1.76669
ACAJIZ_clean_15,-30.1442,1.20227e-07,0.415929
ACAJOF_clean_56,-27.491,1.18558e-07,0.59982
ACAKUM_14,-29.9932,2.85898e-08,0.264967
ACALIB_clean_14,-24.7475,4.14311e-09,0.188288
ACAKUM_clean_14,-29.9932,2.85898e-08,0.263996
ACECIV_ion_b_14,-36.4914,4.49643e-09,0.252874
ACIBIY_clean_2,-30.2751,3.93426e-08,1.28314
ACMPCD_clean_1,-24.7256,1.81544e-08,0.368688
ACODED_60,-33.2326,2.09546e-07,0.841664
ACIBOE_clean_8,-24.3978,1.71507e-07,2.56088
